SA2_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
124051581,528,309,383,320,277,196,149,102,108,2387,3684,2127,2848,2436,2087,1808,1304,712,319,17325
125011475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
125011582,369,339,458,301,226,198,140,47,27,2107,3357,3257,4553,2684,1987,1736,1123,577,213,19487
125011583,90,125,199,113,70,64,58,44,61,829,1541,1916,2929,1465,945,839,503,311,132,10592
125011584,215,146,170,131,107,112,50,26,4,953,1896,1243,1475,1110,1010,1038,637,276,171,8860
125011585,113,83,131,94,94,66,34,24,7,646,1342,1121,1559,1097,1114,1125,748,346,158,8610
125011586,154,185,339,197,187,173,97,60,49,1439,2915,2849,4786,3110,2413,2538,1576,732,281,21197
125011587,63,53,65,53,31,43,13,13,5,345,923,688,884,648,596,667,473,189,68,5138
125011709,74,205,509,484,249,114,53,15,0,1704,1727,989,1472,1955,1427,840,580,215,43,9246
125011710,201,95,512,283,99,82,48,20,0,1339,2807,1673,7962,4379,1536,1179,664,176,31,20412
125021477,280,183,299,250,218,172,144,72,36,1664,4689,2859,3815,3846,3222,2905,1932,966,410,24641
125021478,266,153,161,182,157,157,88,43,33,1261,3528,2145,2164,2710,2576,2475,1632,871,411,18508
125021711,68,49,51,71,58,67,41,42,28,474,2208,1466,1026,1701,1589,1463,1060,715,402,11622
125021712,189,100,128,154,107,106,71,48,13,923,4080,2044,2368,3366,2284,2147,1693,1016,252,19251
125031479,629,369,471,447,339,254,157,97,130,2882,4528,3068,2930,2647,2499,2351,1564,767,494,20842
125031480,389,269,274,227,226,177,125,58,64,1816,3080,2207,2186,1906,1955,1810,1417,712,473,15742
125031481,534,362,535,373,246,204,119,66,21,2457,4209,3725,5143,3258,2387,2154,1462,689,230,23250
125031483,879,468,453,495,330,271,152,76,24,3144,5393,3318,3564,2963,2333,2211,1488,800,308,22386
125031484,585,310,420,363,250,173,117,68,35,2321,5045,3126,3865,3178,2632,2242,1546,873,413,22929
125031486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
125031487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,12
125031713,292,146,124,172,158,102,95,92,53,1233,3536,1941,1824,2286,2184,1736,1724,1115,288,16645
125031714,567,356,561,448,300,266,141,60,28,2732,4847,3014,4652,3610,2604,2370,1562,852,303,23806
125031715,143,77,93,94,79,77,66,65,71,778,2406,1314,1198,1803,1440,1057,871,583,222,10893
125031716,158,95,114,130,89,65,37,35,11,726,1529,962,1063,1190,887,763,495,283,132,7305
125041489,326,206,380,400,193,173,123,80,50,1933,3912,2345,4850,4646,2469,2146,1444,718,349,22878
125041490,69,51,48,53,57,51,35,25,0,386,1675,943,775,1244,1190,1023,880,572,148,8451
125041491,236,130,263,266,119,109,106,82,68,1380,3997,1990,4323,4054,2066,1513,1239,763,326,20275
125041493,279,206,257,224,209,168,101,103,66,1621,4239,2675,3178,3348,2908,2533,1956,1384,628,22853
125041494,99,58,53,60,75,59,37,19,9,473,2408,1237,959,1741,1567,1170,1054,805,248,11199
125041588,252,111,177,207,140,84,82,66,82,1211,3137,1363,1952,2932,1546,1195,942,583,282,13939
125041589,365,200,472,357,172,159,71,29,18,1864,4557,2176,4825,4569,1973,1616,1029,569,251,21568
125041717,110,130,326,183,61,49,28,12,6,903,1886,1327,4383,2700,710,506,372,140,41,12062
125041718,130,84,211,138,78,56,26,15,4,745,1590,1235,2892,1946,850,630,418,225,65,9867
125041719,101,89,200,150,63,53,29,13,8,713,1492,1018,2791,1751,708,587,410,168,101,9034
126011496,172,116,111,137,149,140,81,82,38,1035,4137,2694,1722,2913,3170,2857,2257,1412,581,21737
126011720,104,60,128,113,61,72,41,23,26,620,2714,1703,2297,2387,1747,1549,1087,609,315,14404
126011721,159,101,115,124,93,73,57,38,17,781,3586,2163,2823,3094,2296,2055,1652,711,314,18690
126021498,126,78,112,124,116,95,76,68,123,917,2606,1602,2245,2316,2198,1808,1385,866,434,15456
126021499,85,82,56,71,101,71,84,122,261,937,1730,1305,630,1040,1478,1230,1088,740,598,9844
126021500,171,206,335,211,132,99,80,65,50,1347,3270,3372,5651,3988,2253,1916,1615,1020,735,23818
126021501,161,93,168,135,117,127,72,59,56,996,2718,1745,2486,2473,1997,1855,1233,719,396,15622
126021503,141,98,212,187,97,109,68,48,15,970,3169,1998,4212,3703,2277,2097,1543,788,314,20102
126021590,50,37,16,26,34,37,33,13,4,244,708,568,383,471,610,653,477,194,104,4163
126021722,47,31,35,35,34,41,36,18,18,293,1293,822,635,956,947,1007,813,332,163,6969
126021723,137,110,173,146,138,138,83,54,41,1019,3002,2093,2997,2948,2235,2405,1918,957,423,18974
126021724,184,128,158,171,157,146,108,64,77,1192,3464,2275,2914,3262,2689,2413,1733,1046,497,20291
126021725,118,59,194,136,48,55,44,53,80,787,2035,947,3368,2425,1030,884,643,382,251,11972
127011504,662,342,299,326,267,263,146,78,31,2407,4337,2724,2268,2208,2025,2207,1253,702,236,17962
127011505,263,159,165,193,146,113,102,81,105,1326,2725,1588,2086,1817,1438,1173,983,488,225,12533
127011592,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,4,0,25
127011593,90,78,48,45,76,49,27,6,0,415,1220,1224,769,728,1092,1010,593,204,67,6906
127011594,223,133,121,116,113,134,82,33,8,962,2519,2007,1631,1553,1727,1819,1102,451,118,12919
127011595,229,134,118,115,108,87,45,17,6,864,2856,2006,1648,1797,1743,1647,920,330,93,13038
127011596,264,149,106,156,113,83,33,20,8,932,3198,2004,1679,2068,1826,1377,740,294,73,13263
127011597,282,175,144,166,166,100,52,21,9,1110,4352,2589,2143,2832,2397,1587,856,334,109,17194
127011726,84,43,54,46,36,35,36,14,5,350,1028,551,745,624,548,504,450,250,51,4761
127011727,253,78,163,157,59,37,25,3,0,783,4086,1399,3257,2702,1304,904,483,135,34,14299
127011728,177,81,104,106,94,67,53,37,12,734,3056,1348,2383,2013,1244,1040,880,494,107,12559
127011729,343,132,199,191,111,68,33,13,3,1096,5283,1931,3618,3357,1566,944,622,227,71,17624
127021509,302,205,170,161,144,171,96,38,13,1303,3151,2510,2275,2027,2199,2385,1705,633,274,17154
127021510,304,213,144,189,211,190,157,67,27,1511,3388,2741,2302,2187,2524,2867,2217,1045,427,19690
127021511,398,277,305,280,309,304,186,172,171,2389,3696,3426,3264,2855,3458,3409,2304,1071,627,24101
127021512,393,244,248,224,219,232,106,61,36,1757,3507,2688,2400,2230,2465,2355,1471,786,340,18249
127021513,383,267,264,262,282,256,159,97,72,2032,3877,3289,3040,2749,3013,3071,1837,927,461,22261
127021514,122,93,97,81,91,101,75,44,41,748,1772,1460,1359,1149,1286,1533,1111,437,163,10279
127021515,312,216,239,249,233,236,181,99,32,1799,3078,2312,2397,2362,2482,2537,1808,917,363,18248
127021516,468,257,234,250,217,212,131,76,34,1869,4261,3063,2665,2670,2717,2609,1812,1112,342,21249
127021517,124,79,68,79,68,80,67,38,14,612,1546,1241,1058,1038,1095,1202,988,531,152,8855
127021518,57,56,47,52,60,65,27,25,8,393,693,637,438,411,629,599,479,306,135,4344
127021519,297,157,191,185,163,175,151,104,74,1490,3754,2491,2565,2297,2387,2400,2005,1124,483,19510
127021520,112,93,86,85,93,98,69,37,25,700,1841,1423,1352,1297,1354,1508,1445,689,284,11197
127021521,0,0,0,4,0,3,0,0,0,7,5,0,4,7,9,13,3,0,0,37
127031522,290,204,168,168,149,144,103,82,65,1375,3500,2329,2211,2130,2152,2007,1298,678,288,16584
127031523,341,177,168,230,184,146,107,68,22,1439,4654,2422,2530,3208,2642,2207,1833,991,326,20813
127031524,250,241,193,190,171,128,102,165,176,1614,4546,2903,2860,3146,2978,2228,1285,778,404,21129
127031599,415,190,228,207,163,144,86,75,27,1522,3073,1748,1741,1619,1414,1405,917,573,179,12670
127031601,147,86,107,137,80,91,46,27,9,731,1086,666,1110,1017,672,670,409,222,77,5937
127031730,222,112,143,168,114,53,21,12,0,838,3257,1572,2207,2428,1346,729,386,113,36,12080
127031731,436,297,604,411,217,177,147,66,12,2365,3346,2103,4235,2978,1839,1428,1018,472,119,17536
127031732,346,195,217,200,168,169,87,64,39,1484,2773,1781,2001,1780,1592,1601,1185,703,314,13737
127031733,244,162,96,142,120,90,52,43,76,1038,3531,2613,1749,2171,2339,1761,857,451,225,15692
128011529,178,139,111,130,155,117,89,61,32,1008,3548,2246,1787,2389,2726,2319,1626,1090,428,18156
128011530,229,160,187,200,174,125,110,98,52,1342,3631,2241,2746,2933,2680,2256,1861,1462,892,20705
128011531,209,98,89,154,152,118,103,107,151,1185,2722,1796,1436,1885,2278,1984,1745,1648,947,16430
128011602,185,104,152,136,143,93,65,38,16,941,2364,1326,2106,1937,1699,1352,1097,659,324,12858
128011603,187,93,80,88,111,83,58,34,29,764,2660,1550,1134,1605,1794,1695,1410,768,406,13015
128011604,258,185,238,235,259,255,172,122,122,1854,3519,2504,3701,3014,3194,3546,2865,1399,637,24374
128011605,45,24,15,34,29,22,15,7,7,196,679,516,237,352,513,473,364,171,64,3369
128011606,80,72,63,53,63,83,54,22,6,487,1540,1206,1057,1095,1277,1196,937,458,186,8947
128021533,66,36,34,49,48,25,38,38,10,351,1261,762,641,851,926,738,660,491,334,6673
128021534,97,79,49,66,75,69,42,11,5,498,1826,1379,1065,1161,1338,1790,1353,488,152,10554
128021535,192,131,84,116,140,153,88,50,18,977,4020,2875,2072,2552,2964,3047,2204,868,332,20927
128021536,230,116,119,170,176,127,111,68,43,1167,4685,2554,1945,3178,3387,2512,2162,1201,444,22063
128021537,7,5,0,4,0,0,0,0,0,18,12,12,6,8,4,0,0,0,0,42
128021538,218,148,214,191,178,167,115,91,54,1370,3928,2411,3895,3573,2949,2441,1848,1387,804,23238
128021607,187,123,65,108,127,96,91,83,79,955,3847,2105,1565,2627,2404,1686,1619,1166,332,17356
128021608,80,47,33,58,49,33,33,24,14,371,1542,885,700,982,1049,830,767,474,122,7348
128021609,42,38,11,16,44,22,12,5,0,191,632,556,272,352,614,608,364,112,21,3539
197979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199999499,555,462,763,794,661,469,210,54,14,3980,1260,1357,2187,1859,1678,1648,1055,277,49,11371
201011001,288,160,142,127,152,95,59,50,22,1096,4025,2380,2089,2457,2124,1583,1312,694,172,16835
201011002,112,117,91,95,135,112,99,70,50,883,1782,1551,1326,1340,1660,1650,1495,937,394,12131
201011005,95,110,38,74,72,55,58,18,6,517,1503,946,571,870,1044,991,897,352,85,7261
201011006,235,111,126,106,75,71,56,33,14,829,2276,1409,1975,1287,1122,1022,876,470,232,10661
201011007,82,36,24,18,44,32,30,7,0,283,886,557,340,515,685,633,433,148,27,4230
201011008,265,170,194,153,159,125,97,73,50,1282,2833,1848,2230,1748,1780,1739,1602,1041,514,15333
201011481,144,100,96,94,101,92,77,45,29,776,1528,1042,1426,1183,1081,1239,1114,686,390,9691
201011482,199,126,126,114,128,149,107,52,30,1018,2756,1570,1828,1916,1905,1929,1623,846,367,14750
201011483,215,148,193,89,108,97,87,81,56,1077,2147,1607,1947,1560,1435,1285,1242,689,320,12225
201011484,266,170,168,119,150,113,116,64,33,1208,2163,1596,2022,1520,1415,1581,1504,914,373,13086
201021009,119,56,61,70,83,84,82,29,15,606,1243,623,648,895,957,969,736,370,118,6559
201021010,133,71,48,78,116,112,104,61,24,750,1324,669,657,856,1125,1326,1262,633,236,8085
201021011,137,77,85,99,133,172,173,81,41,994,1278,660,762,1036,1501,1863,1819,771,256,9955
201021012,127,68,54,81,94,77,57,30,6,588,1202,689,545,803,1010,994,754,299,73,6372
201031013,75,35,22,35,51,50,85,37,8,404,508,292,260,299,513,568,685,307,101,3532
201031014,84,61,78,125,137,105,100,49,14,757,672,427,404,531,685,739,739,338,101,4644
201031015,94,64,44,40,80,57,55,23,0,448,945,511,485,573,758,692,637,259,40,4894
201031016,145,73,62,59,81,68,73,77,35,676,1208,778,809,658,946,1109,1296,958,395,8160
201031017,106,61,41,66,98,118,84,59,15,652,794,472,395,471,751,1036,994,494,118,5526
202011018,271,185,235,162,182,166,108,111,118,1536,2263,1934,2339,1657,1828,1865,1644,904,484,14929
202011019,255,128,163,120,116,119,108,56,39,1101,2469,1594,1953,1426,1437,1581,1450,746,300,12949
202011020,190,141,134,113,143,138,115,82,44,1102,2140,1703,1704,1487,1660,1787,1758,1129,619,13988
202011021,152,121,85,84,91,89,42,40,16,720,1653,1470,1253,1138,1125,1154,899,497,254,9437
202011022,365,214,266,187,186,194,179,154,136,1883,3541,2191,2946,2502,2269,2497,2477,1791,840,21043
202011023,80,38,31,51,39,38,26,8,4,308,1359,656,503,834,788,639,521,175,29,5518
202011024,176,92,45,110,93,91,58,39,9,717,2545,1256,984,1536,1479,1151,1110,532,125,10719
202011025,286,143,147,141,120,119,76,42,14,1088,3415,1669,2297,1996,1554,1540,1240,577,156,14446
202021026,134,64,53,83,82,95,71,30,3,615,1731,976,834,1062,1162,1281,910,330,59,8344
202021027,125,117,261,230,212,150,143,133,117,1497,1608,844,1057,1365,1533,1631,1779,1064,472,11352
202021028,126,83,89,103,131,143,141,68,15,903,1275,728,702,910,1323,1756,1618,731,178,9225
202021029,118,57,57,60,105,112,85,52,23,667,733,344,420,468,692,892,864,500,149,5062
202021030,156,98,93,97,138,141,118,67,31,939,1816,946,932,1293,1607,1474,1415,769,311,10562
202021031,99,63,39,65,100,72,68,48,14,563,1541,773,521,1003,1291,1089,1033,535,164,7949
202031032,99,60,56,70,88,108,63,55,11,603,877,485,440,560,687,866,659,294,76,4934
202031033,121,79,61,81,124,181,156,83,73,957,1091,607,590,656,912,1294,1232,611,297,7289
203011034,162,66,61,96,84,50,40,17,8,576,1916,886,888,1145,1071,741,660,327,127,7754
203011035,150,68,62,72,99,95,62,29,3,641,1757,862,830,1117,1183,1173,835,277,65,8111
203011036,119,60,56,87,63,67,62,26,4,543,1233,729,660,868,900,983,796,342,113,6614
203021037,193,124,145,121,114,128,69,63,49,1015,2575,1813,2618,1954,1680,1547,1410,896,526,15017
203021039,128,154,182,139,130,153,110,64,30,1089,1748,1722,2372,1646,1647,1848,1512,732,277,13504
203021040,235,182,212,189,156,132,103,62,36,1319,3827,2352,3578,3153,2635,2422,1779,973,484,21200
203021042,254,297,203,146,162,156,172,85,19,1494,4410,3756,2782,3031,3070,2772,2312,1437,467,24034
203021043,325,270,591,531,346,201,145,48,24,2483,4035,2340,3167,3096,2811,2294,1893,874,315,20817
203021044,178,82,107,86,111,86,91,75,16,818,2405,1470,1630,1630,1671,1644,1518,988,320,13272
203021045,271,179,183,168,186,142,139,101,58,1434,2188,1759,2159,1607,1875,1988,1976,1341,561,15462
203021046,145,82,69,84,87,89,68,30,23,674,2003,1291,1146,1349,1467,1351,1058,580,201,10445
203021047,192,157,154,128,147,113,96,86,35,1108,2443,1710,2290,1842,1944,1767,1907,1285,601,15795
203021485,144,105,113,92,58,36,34,35,12,627,2154,1286,2448,1569,770,682,566,475,346,10300
203021486,421,298,268,218,234,194,127,58,29,1847,3369,2842,2721,2077,2306,2276,1632,847,247,18325
203021487,262,269,232,181,186,147,137,62,62,1527,4508,3410,3873,3276,2869,2438,2254,1376,756,24763
203021488,208,143,192,145,144,115,86,52,24,1112,1428,1146,1550,1064,1105,1095,908,514,235,9051
203031048,224,126,101,127,89,110,133,107,42,1067,2927,1649,1763,1952,1956,2312,2473,1336,431,16797
203031049,78,36,51,47,80,90,116,38,20,556,775,467,538,574,745,1147,1218,570,199,6234
203031051,91,55,40,75,97,164,167,142,83,924,1004,588,627,752,1108,1762,2250,1134,314,9536
203031052,53,21,20,42,40,79,111,74,22,467,639,360,281,420,546,896,1290,776,297,5519
203031053,373,200,175,263,280,198,200,91,80,1862,5390,2426,2438,3910,3495,2771,2586,1178,421,24607
203031489,181,94,93,100,104,90,84,44,17,795,2644,1228,1671,1685,1338,1096,1101,447,124,11333
203031490,234,128,102,153,131,169,191,100,49,1253,3821,1814,1685,2567,2531,2582,2662,1215,515,19394
204011054,83,54,44,59,77,113,102,57,18,588,884,529,553,640,864,1203,1272,661,220,6828
204011055,116,70,63,71,100,135,152,70,29,810,942,546,526,646,782,1182,1322,683,296,6922
204011056,260,175,145,164,183,163,104,70,41,1306,2918,1837,1914,1821,2131,1975,1645,979,354,15563
204011057,179,131,139,149,143,180,140,69,18,1156,1768,960,995,1156,1253,1731,1659,767,239,10517
204011058,74,43,31,48,51,80,66,43,31,471,679,383,389,488,549,769,766,383,140,4537
204011059,140,80,101,88,85,99,81,33,29,730,992,788,791,666,805,949,888,474,217,6569
204011060,67,76,48,51,61,63,45,31,10,449,827,675,559,543,639,655,484,214,53,4645
204011061,14,0,8,6,9,6,6,0,0,51,50,25,19,27,45,41,17,10,0,238
204011062,92,50,36,55,86,104,93,34,8,562,562,367,288,398,566,783,715,399,104,4182
204021063,213,127,129,105,138,143,122,126,66,1168,1507,1045,1114,987,1209,1602,1673,1148,524,10822
204021064,82,30,31,50,61,64,73,30,3,422,569,312,281,369,520,766,682,242,42,3781
204021065,61,38,31,30,46,51,34,33,9,327,667,370,386,417,536,614,627,321,115,4047
204021066,328,178,188,169,190,188,169,139,87,1643,3429,2165,2282,2229,2388,2478,2399,1714,795,19882
204021067,164,95,55,101,110,127,107,66,5,828,1780,902,766,1075,1471,1653,1456,664,156,9925
204031068,55,48,58,85,73,70,47,34,11,489,798,408,367,596,711,792,806,382,127,4986
204031069,122,116,99,79,129,141,119,80,36,919,1353,837,890,1041,1217,1390,1293,668,207,8903
204031070,55,28,34,27,46,38,26,28,3,286,525,326,295,323,483,556,416,212,45,3184
204031071,33,52,27,28,39,61,48,25,15,329,703,463,417,476,596,792,697,409,190,4745
204031072,88,54,45,66,79,92,109,62,41,642,962,482,482,620,759,1107,1024,533,217,6196
204031073,309,186,147,172,170,115,98,53,18,1259,3003,1923,1874,1845,1974,1965,1702,807,300,15396
204031075,82,44,36,50,68,71,43,25,13,437,1063,486,421,611,736,845,629,311,109,5221
204031491,183,127,109,94,73,76,66,31,21,779,3052,1720,1931,1785,1425,1165,1028,455,213,12778
204031492,274,170,182,155,147,168,120,86,33,1338,2628,1733,2044,1806,1797,1901,1765,1076,335,15082
205011076,411,178,204,207,195,204,166,106,38,1713,4050,2026,2700,2268,2223,2452,2307,1318,432,19773
205011077,129,67,46,77,81,126,84,48,13,666,1108,690,571,688,875,1134,954,453,116,6585
205011078,136,71,72,72,77,68,88,57,49,689,1554,859,906,973,1014,1146,1170,547,194,8368
205011079,368,196,247,212,236,183,170,127,54,1793,4269,2547,2986,2661,2828,2872,2653,1634,605,23051
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,279,149,172,125,167,168,175,144,121,1504,2698,1638,1807,1580,1787,2010,2117,1477,567,15684
205021082,132,81,81,90,119,125,131,51,22,834,1388,731,819,862,1093,1421,1264,574,136,8290
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,215,122,112,133,149,169,190,123,52,1254,1566,843,828,1017,1223,1792,2344,1212,337,11164
205021085,118,67,79,75,119,165,153,85,19,880,938,480,519,599,798,1309,1239,647,199,6727
205021086,55,24,21,42,41,76,90,65,22,449,713,440,420,446,730,1237,1732,966,283,6977
205031087,169,102,81,100,108,147,160,95,45,996,1362,747,662,882,1155,1663,1830,871,272,9446
205031088,0,0,0,6,3,0,3,6,0,13,16,13,5,24,22,21,30,13,4,139
205031089,124,82,72,90,97,140,96,53,21,787,1717,968,1027,1023,1342,1548,1338,634,239,9842
205031090,220,77,80,117,103,120,130,81,41,974,2093,1117,973,1240,1436,1670,1678,949,347,11502
205031091,204,96,106,147,158,233,233,118,54,1351,2099,1028,1157,1450,1644,2385,2477,1174,396,13799
205031092,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,16
205031093,391,198,198,257,272,319,351,237,106,2326,4045,2215,2388,2777,3151,4251,4679,2466,821,26792
205041094,238,182,125,139,119,153,114,54,20,1150,2174,1359,1319,1375,1475,1902,1527,659,126,11912
205041095,372,197,216,192,219,235,195,109,50,1783,2795,1846,2140,1823,2071,2399,2320,1329,563,17291
205041096,427,239,264,252,244,210,162,113,115,2037,2497,1628,1780,1504,1766,1968,1756,1055,475,14432
205041098,92,40,56,43,50,58,66,17,6,430,885,535,568,564,624,740,566,185,40,4707
205041493,268,154,167,127,124,138,102,90,100,1266,2102,1391,1636,1358,1433,1558,1297,832,393,12000
205041494,226,147,156,164,156,178,137,129,78,1370,3199,1860,2348,2221,1936,2055,1855,992,356,16822
205051099,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,9,8,0,0,23
205051100,66,38,22,32,65,87,80,30,3,427,661,503,356,453,694,957,916,324,54,4915
205051101,276,179,156,160,167,181,171,80,20,1395,2727,1561,1643,1640,1661,2145,2090,983,301,14756
205051102,128,98,412,364,151,101,80,27,5,1362,771,474,832,805,610,619,555,220,50,4928
205051103,226,177,170,161,186,132,127,72,67,1322,2805,1687,1869,1785,1900,1899,1800,1098,465,15301
205051104,81,58,57,73,62,85,88,39,19,567,772,472,466,518,692,1022,1025,475,166,5605
206011106,73,72,253,144,105,68,35,24,11,787,1227,1386,4230,2507,1351,908,586,367,168,12738
206011107,96,94,203,166,94,67,50,43,12,824,1829,1706,3608,2425,1691,1295,913,564,283,14318
206011109,88,77,80,74,101,74,39,38,23,587,1886,1254,1339,1567,1562,1251,735,459,326,10390
206011495,76,71,201,109,80,48,40,22,15,664,1407,1575,3566,2283,1470,1088,747,522,222,12890
206011496,55,94,231,125,93,69,46,31,13,761,1218,1522,4052,2372,1417,1053,700,418,228,12983
206011497,111,86,165,116,113,91,36,35,16,779,1642,1427,2665,2175,1610,1257,892,578,284,12535
206011498,119,88,142,87,113,81,60,30,17,748,2408,1543,2383,2226,2056,1414,1012,644,346,14031
206021110,78,59,89,68,70,60,46,9,0,484,1431,1006,1548,1383,1298,1109,702,351,165,8994
206021112,158,123,210,167,161,95,58,51,22,1045,2796,1856,3825,3334,2675,1852,1233,846,497,18919
206021499,155,97,155,159,132,94,75,44,28,939,2312,1532,2883,2339,2256,1655,1062,706,321,15068
206021500,74,62,145,98,107,63,25,23,6,601,1489,988,2308,1719,1585,980,624,407,203,10299
206031113,205,120,239,170,179,142,70,38,10,1178,2685,1603,2651,2506,2147,1704,1117,556,228,15191
206031115,111,99,211,143,98,83,54,24,18,834,1183,1076,2398,1492,1050,819,653,273,123,9065
206031116,118,118,151,115,135,145,76,56,16,921,2250,1830,3138,2423,2130,1936,1361,752,415,16224
206031501,152,165,112,129,157,115,71,41,38,988,2570,2265,1946,2095,2505,2079,1383,733,479,16042
206031502,94,111,149,112,106,95,73,24,8,781,1696,1547,2268,1801,1597,1453,1094,514,220,12191
206041117,91,343,442,173,121,73,49,39,24,1359,886,5112,5593,1813,1042,855,692,449,217,16655
206041118,95,158,621,292,135,132,75,28,6,1550,1207,1813,6036,2890,1397,1204,695,207,42,15493
206041119,19,34,66,72,54,40,62,18,5,369,289,368,1144,786,552,663,651,324,119,4896
206041120,0,0,0,0,0,0,0,0,0,0,3,9,36,21,11,3,0,0,0,77
206041121,88,61,123,119,92,50,47,19,9,618,1559,1116,2550,2138,1334,959,666,296,134,10745
206041124,42,191,121,69,45,40,24,16,10,562,487,2765,1696,760,446,400,342,245,155,7297
206041125,50,50,118,87,62,60,76,72,84,650,555,559,1516,995,666,658,701,521,241,6423
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041503,48,224,446,212,122,84,44,16,9,1195,439,2152,3536,1656,805,635,413,174,41,9848
206041504,35,563,612,175,80,47,25,7,0,1553,462,6427,6733,1797,703,419,239,68,17,16870
206041505,60,315,632,274,94,78,34,16,0,1499,531,3751,7163,2368,869,574,291,85,18,15648
206041506,234,278,422,245,146,132,82,25,8,1573,1772,2891,4602,2450,1529,1136,798,338,126,15637
206041507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041508,43,48,165,107,58,68,42,20,0,556,475,709,2370,1219,613,528,336,171,35,6463
206041509,67,154,442,202,77,47,38,13,0,1037,869,2593,7014,2978,1128,783,526,185,27,16101
206041510,24,101,231,131,75,38,37,3,0,644,560,1220,2976,1300,648,416,226,84,15,7446
206051128,120,95,191,183,136,144,103,64,20,1052,2108,1427,2568,2478,2285,1997,1609,1062,281,15825
206051129,156,85,244,252,192,135,71,41,23,1202,1950,1214,3198,2760,2363,1745,1031,417,143,14818
206051130,149,109,172,220,213,183,132,77,18,1280,2295,1194,2150,2849,2732,2149,1650,922,244,16192
206051134,144,143,348,223,163,95,64,41,19,1239,1917,1638,4389,2924,2016,1373,934,449,176,15813
206051511,19,32,115,58,40,24,0,0,0,291,170,222,775,374,218,117,34,15,0,1907
206051512,99,70,151,128,139,109,72,74,53,891,1343,1015,2422,1993,1670,1374,1001,593,287,11693
206051513,58,86,314,239,150,131,75,27,9,1086,826,993,3916,2396,1462,1176,724,289,75,11857
206051514,90,120,420,235,241,198,129,141,157,1726,1024,1133,3710,2505,1936,1676,1073,525,271,13858
206061135,65,75,87,75,93,44,50,57,27,569,1189,989,1916,1377,1176,901,896,667,221,9336
206061136,99,152,377,235,147,135,84,90,89,1406,1524,2020,6152,3347,2057,1611,1170,837,400,19119
206061138,111,128,139,97,133,127,132,105,73,1044,1417,1504,1885,1372,1543,1699,1760,1244,517,12953
206061515,60,148,405,186,105,82,49,21,3,1053,586,1482,4486,2018,947,734,552,289,98,11192
206061516,93,81,239,131,96,84,66,42,23,850,813,1039,3102,1558,1068,943,747,479,197,9939
206071139,51,61,245,147,73,60,45,16,10,709,733,859,3279,1784,888,692,508,249,97,9088
206071140,64,57,121,71,64,46,43,25,15,500,896,1104,2148,1112,858,809,732,391,141,8186
206071141,138,97,233,139,104,59,32,15,0,829,898,847,3348,1752,1030,661,394,189,67,9179
206071142,158,121,271,182,143,121,83,34,12,1119,1067,994,3072,1841,1197,1108,697,324,135,10431
206071143,106,90,213,128,104,81,77,43,33,873,1563,1288,3163,1964,1549,1247,1042,667,294,12781
206071145,72,59,137,83,88,81,48,25,10,601,1503,845,2023,1675,1270,1113,894,386,139,9855
206071517,72,125,398,187,130,155,65,36,13,1177,1754,1831,5735,2891,2030,1610,1056,574,210,17671
206071518,102,113,279,173,124,108,77,34,29,1036,1274,1496,4328,2309,1552,1292,944,460,202,13867
207011146,73,35,49,50,66,45,35,24,10,385,1585,1014,712,1041,1245,1018,694,420,227,7952
207011147,112,114,77,86,112,94,82,56,53,781,2581,2233,1578,1970,2266,2002,1717,1175,640,16163
207011148,154,155,92,73,180,124,83,53,30,941,3761,3334,1813,2264,3364,2893,1889,1189,615,21123
207011149,183,152,110,139,153,129,101,59,58,1094,3390,3007,2233,2405,2966,2696,2200,1428,912,21232
207011150,133,108,78,87,127,105,66,51,22,781,3185,2398,1562,2070,2615,2232,1556,908,312,16829
207011152,109,122,169,122,111,88,71,56,26,854,2292,2063,3156,2255,1977,1582,1246,787,329,15684
207011154,50,40,37,34,45,35,24,21,0,293,1165,890,657,807,951,865,608,369,166,6482
207011155,115,118,87,76,105,105,93,52,45,794,2545,2387,1331,1654,2420,2199,1826,1008,570,15944
207011519,71,101,137,90,77,71,51,32,14,642,1344,1561,1945,1365,1236,977,825,479,151,9890
